# {"env_id": "SeaquestNoFrameskip-v4", "t_start": 1554369279.9851334} 
r,l,t
180.0,1202,4875.59264
260.0,887,4885.543186
180.0,895,4895.751112
200.0,886,4905.975658
160.0,750,4914.583456
280.0,1002,4926.085689
120.0,609,4933.067092
100.0,546,4939.238088
200.0,937,4950.025919
100.0,828,4959.437034
220.0,857,4968.992872
140.0,617,4975.842891
180.0,921,4986.160034
180.0,877,4995.806261
260.0,1053,5007.49354
160.0,659,5014.956534
200.0,781,5024.110255
120.0,487,5029.594514
160.0,961,5040.775351
200.0,638,5048.490698
140.0,651,5056.138191
300.0,1333,5071.883375
180.0,779,5080.80084
180.0,753,5089.344281
320.0,1095,5101.483252
340.0,1328,5116.860431
180.0,782,5125.668969
340.0,975,5136.969476
140.0,561,5143.284163
140.0,650,5150.409309
100.0,572,5156.831714
80.0,636,5164.017821
220.0,937,5174.553534
200.0,810,5183.539697
140.0,602,5190.190718
280.0,1065,5202.036344
220.0,950,5212.667006
40.0,394,5217.024304
180.0,810,5226.006206
60.0,552,5232.038265
0.0,361,5235.951967
80.0,553,5242.008213
40.0,417,5246.535291
60.0,555,5252.594905
20.0,440,5257.468364
20.0,390,5261.679783
220.0,926,5271.836935
80.0,476,5277.014589
40.0,483,5282.331993
20.0,446,5287.188719
0.0,344,5290.896322
0.0,354,5295.097787
20.0,514,5300.74103
0.0,287,5303.892333
60.0,528,5310.248105
20.0,482,5316.001353
40.0,547,5322.287474
40.0,396,5326.790287
20.0,417,5331.374367
20.0,314,5334.769473
20.0,385,5338.998019
20.0,403,5343.38495
0.0,299,5346.581343
20.0,348,5350.389873
20.0,506,5355.864615
20.0,384,5360.025285
40.0,397,5364.37023
40.0,546,5370.337415
0.0,313,5373.758674
40.0,594,5380.268261
20.0,503,5385.76209
0.0,396,5390.056974
0.0,317,5393.472053
40.0,443,5398.30307
0.0,419,5402.864799
0.0,355,5406.654514
20.0,513,5412.272449
0.0,458,5417.284238
0.0,545,5423.254568
0.0,396,5427.576504
20.0,456,5434.292753
20.0,423,8770.459185
40.0,492,8776.485944
20.0,371,8780.83619
0.0,373,8785.298704
0.0,398,8789.998657
20.0,433,8795.039195
20.0,330,8798.630958
0.0,325,8802.1874
60.0,488,8808.053462
0.0,406,8812.877593
0.0,487,8818.779192
40.0,527,8825.476765
100.0,625,8833.189937
20.0,419,8837.79727
20.0,368,8841.822507
20.0,403,8846.317253
20.0,355,8850.440345
60.0,496,8856.124336
20.0,550,8862.343357
20.0,398,8866.947209
60.0,469,8872.303044
20.0,485,8877.979154
20.0,327,8881.829519
0.0,366,8886.204593
220.0,892,8896.714698
220.0,794,8905.457094
100.0,674,8912.979308
100.0,556,8918.97795
20.0,470,8924.24465
0.0,282,8927.336686
20.0,433,8932.209127
60.0,465,8937.604964
20.0,540,8943.672138
180.0,706,8952.123935
20.0,379,8957.551143
100.0,625,8966.650416
120.0,637,8974.794361
20.0,398,8981.437083
0.0,375,8985.831403
0.0,459,8991.846672
280.0,791,9005.546393
80.0,669,9013.675147
200.0,773,9024.344602
180.0,787,9032.834887
140.0,529,9038.717331
240.0,806,9048.617677
140.0,633,9055.885823
240.0,817,9065.311861
240.0,801,9078.696069
140.0,995,9089.230904
400.0,1494,9105.266957
260.0,964,9115.853592
300.0,963,9126.159473
180.0,675,9133.534854
180.0,621,9140.619524
180.0,768,9149.304302
220.0,1367,9165.434901
440.0,1285,9180.584085
420.0,1315,9195.812168
320.0,1088,9207.680725
120.0,673,9215.166518
220.0,718,9223.09162
280.0,1014,9235.112187
340.0,1320,9252.638333
340.0,1188,9267.959493
240.0,951,9280.338583
320.0,1288,9297.354299
380.0,1257,9313.536343
420.0,1639,9332.548989
380.0,1234,9346.544483
340.0,1294,9361.157192
220.0,824,9370.425151
140.0,709,9378.328544
240.0,1027,9390.079556
80.0,509,9395.80344
0.0,344,9399.58518
580.0,2021,9422.404587
180.0,979,9433.440093
400.0,1291,9448.115517
360.0,1372,9463.72356
200.0,854,9473.944847
80.0,447,9478.969553
80.0,598,9485.704655
40.0,626,9492.75567
180.0,627,9499.71448
240.0,923,9510.158452
0.0,453,9515.175016
0.0,302,9518.508123
20.0,400,9522.951669
20.0,366,9527.160992
440.0,1454,9544.746342
40.0,476,9550.039618
240.0,715,9558.083775
60.0,604,9565.24858
340.0,1098,9578.710771
340.0,1270,9594.169452
340.0,972,9605.217984
140.0,578,9611.78641
320.0,1426,9628.457885
260.0,1260,9643.442849
140.0,505,9649.296591
160.0,814,9658.964724
280.0,1145,9673.552014
280.0,1126,9688.328568
220.0,724,9697.614485
80.0,496,9703.170358
280.0,1184,9717.17745
200.0,738,9725.860014
240.0,999,9737.346323
240.0,916,9747.757268
140.0,750,9756.271546
460.0,1627,9775.028992
300.0,1109,9787.778126
220.0,807,9797.217833
300.0,1199,9811.011903
300.0,1161,9824.430594
420.0,1463,9841.445196
180.0,1029,9853.685087
