# {"t_start": 1554460806.1331735, "env_id": "SeaquestNoFrameskip-v4"} 
r,l,t
240.0,742,1781.97807
160.0,592,1787.397444
100.0,575,1792.647005
60.0,496,1797.169915
60.0,521,1802.206547
200.0,779,1809.786562
80.0,459,1814.006615
220.0,994,1822.996368
100.0,665,1828.986776
220.0,769,1835.958657
80.0,434,1840.197023
140.0,684,1847.310573
180.0,763,1854.668571
140.0,532,1859.68385
60.0,417,1863.447614
240.0,892,1871.935266
60.0,464,1876.370131
60.0,393,1879.973417
140.0,862,1888.457906
80.0,465,1893.267833
20.0,396,1897.597993
260.0,950,1907.159698
160.0,701,1914.44171
160.0,657,1920.873183
100.0,458,1924.947448
120.0,572,1930.134968
80.0,611,1935.610396
180.0,789,1942.702088
20.0,381,1946.117416
40.0,393,1949.598362
60.0,439,1954.445265
0.0,358,1957.988547
120.0,520,1963.007016
100.0,523,1967.938728
60.0,427,1971.891199
60.0,489,1976.365021
140.0,529,1981.123554
60.0,507,1985.699435
100.0,669,1991.800236
0.0,376,1995.18633
100.0,584,2000.72492
60.0,499,2005.392618
80.0,481,2009.812478
360.0,1317,2022.78371
20.0,343,2025.922724
60.0,479,2030.231915
80.0,618,2036.501461
120.0,577,2042.103116
60.0,387,2045.795123
40.0,448,2050.396778
80.0,504,2055.09092
180.0,739,2062.392591
120.0,603,2068.412957
120.0,561,2073.75294
40.0,479,2078.287337
160.0,592,2084.003773
220.0,744,2091.399793
80.0,425,2095.281435
80.0,488,2099.709053
140.0,588,2104.960057
60.0,423,2108.742941
120.0,630,2114.754548
80.0,507,2119.56573
0.0,345,2122.857794
60.0,446,2126.945311
40.0,506,2131.892894
80.0,411,2135.876404
60.0,380,2139.434845
60.0,455,2143.892753
20.0,379,2147.427056
80.0,550,2153.128961
80.0,556,2158.648374
60.0,469,2163.085167
200.0,1031,2173.14093
60.0,424,2176.985122
80.0,492,2181.420706
140.0,580,2186.671194
20.0,339,2189.842183
80.0,481,2194.473745
220.0,709,2201.673432
100.0,564,2207.027758
100.0,514,2211.934234
40.0,401,2215.549179
100.0,601,2221.265628
100.0,567,2227.037581
140.0,711,2234.552498
40.0,412,2238.772072
80.0,490,2243.788868
140.0,513,2249.924923
140.0,590,2255.991891
60.0,481,2260.671207
60.0,474,2265.351145
100.0,477,2270.368701
40.0,445,2274.727376
100.0,691,2281.921301
20.0,521,2287.081158
0.0,320,2290.05738
140.0,659,2296.460037
60.0,508,2301.281414
40.0,453,2305.489921
100.0,483,2309.849991
80.0,440,2314.04799
80.0,401,2317.890567
180.0,708,2325.032581
100.0,502,2330.110423
60.0,595,2335.692704
220.0,901,2344.559624
160.0,541,2349.589425
60.0,404,2353.306984
120.0,601,2358.901452
280.0,993,2368.529426
180.0,646,2374.657428
80.0,482,2379.279771
120.0,590,2384.931312
140.0,826,2393.048888
200.0,823,2401.709863
60.0,359,2405.0939
60.0,398,2408.954303
100.0,505,2414.855322
200.0,742,2421.958445
140.0,738,2429.300956
20.0,386,2432.980688
280.0,932,2441.89643
40.0,471,2446.331648
100.0,765,2454.798541
80.0,437,2459.291092
40.0,397,2463.015532
60.0,475,2467.756719
100.0,662,2475.00222
0.0,387,2478.848047
60.0,440,2483.83718
100.0,613,2490.833616
100.0,488,2495.688686
100.0,685,2502.30802
80.0,551,2507.381642
220.0,783,2514.562662
140.0,693,2520.924079
220.0,1018,2530.362432
20.0,389,2534.019195
120.0,710,2540.534274
120.0,792,2547.790808
120.0,794,2555.128629
120.0,738,2561.904473
100.0,460,2566.074304
40.0,411,2569.785869
60.0,523,2574.526425
80.0,441,2578.528368
180.0,705,2585.054279
140.0,666,2591.195848
0.0,336,2594.226709
140.0,528,2599.050236
80.0,432,2603.020811
160.0,731,2609.760001
180.0,747,2616.730321
260.0,1508,2630.720432
160.0,666,2636.813364
120.0,509,2641.397756
60.0,525,2646.235504
40.0,438,2650.180821
100.0,523,2654.919221
