# {"env_id": "KangarooNoFrameskip-v4", "t_start": 1554392753.680246} 
r,l,t
0.0,283,2512.127545
0.0,302,2515.482569
200.0,586,2522.098867
0.0,298,2525.418985
0.0,343,2529.259709
0.0,479,2534.724126
200.0,529,2541.071651
0.0,419,2546.144081
0.0,369,2550.46851
0.0,485,2555.864075
0.0,417,2560.468755
200.0,607,2567.210717
200.0,412,2571.767526
200.0,594,2578.460619
0.0,538,2584.484516
0.0,530,2590.401672
0.0,350,2594.23342
0.0,608,2601.029238
0.0,463,2606.194419
0.0,596,2612.826436
0.0,540,2619.056141
200.0,432,2623.855064
0.0,471,2629.477463
0.0,484,2635.292341
0.0,533,2641.724309
0.0,428,2646.51275
0.0,390,2650.876267
0.0,473,2656.354047
0.0,281,2659.475403
0.0,404,2663.930947
0.0,297,2667.074867
0.0,485,2672.248099
0.0,466,2677.249402
0.0,662,2684.361717
0.0,534,2690.139908
0.0,727,2697.958536
400.0,554,2703.887457
0.0,359,2707.726618
200.0,536,2713.525043
0.0,538,2719.302578
0.0,484,2724.467232
200.0,415,2728.877184
400.0,466,2733.88949
0.0,543,2739.724445
200.0,411,2744.128509
0.0,671,2751.329914
0.0,481,2756.458167
0.0,661,2763.510268
200.0,543,2769.338163
0.0,659,2776.516632
400.0,394,2780.740479
0.0,343,2784.404357
200.0,411,2788.783567
0.0,352,2792.522677
0.0,406,2796.817328
0.0,603,2803.277621
0.0,361,2807.110329
200.0,537,2812.886443
0.0,402,2817.150061
200.0,426,2821.707746
0.0,410,2826.125868
0.0,644,2833.085495
0.0,563,2839.147377
200.0,596,2846.313963
0.0,478,2851.558163
0.0,473,2857.311067
200.0,410,2861.891236
0.0,524,2867.550306
200.0,474,2872.917471
0.0,404,2877.408723
0.0,415,2882.177649
0.0,534,2888.161665
0.0,465,2893.300924
0.0,466,2898.485039
0.0,578,2904.689823
200.0,351,2908.360259
0.0,504,2913.72624
200.0,604,2920.159483
0.0,487,2925.372923
0.0,425,2929.862938
0.0,347,2933.539947
200.0,488,2938.98434
0.0,490,2944.456479
0.0,477,2949.663923
0.0,504,2955.361197
0.0,309,2959.154543
0.0,470,2964.860535
0.0,387,2969.823298
0.0,412,2975.302598
0.0,427,2980.826818
0.0,433,2985.989006
0.0,727,2994.947039
0.0,544,3002.054026
200.0,725,3011.347162
0.0,354,3016.061558
200.0,360,3020.682188
0.0,416,3026.165546
0.0,462,3032.305095
0.0,547,3038.992699
0.0,466,3044.689172
200.0,531,3050.693109
200.0,599,3058.087353
0.0,720,3066.975305
0.0,460,3072.448791
200.0,531,3078.238214
400.0,726,3086.359099
0.0,508,3092.190776
200.0,602,3098.806518
0.0,542,3105.152474
0.0,659,3112.561909
0.0,525,3118.290566
0.0,357,3122.593067
200.0,619,3129.674487
0.0,763,3138.63694
0.0,296,3141.944357
0.0,527,3147.64411
0.0,538,3154.077841
200.0,475,3159.713134
0.0,611,3166.814767
200.0,431,3171.896204
0.0,475,3177.058695
0.0,560,3183.25161
0.0,548,3189.264068
0.0,502,3194.81377
0.0,429,3199.587765
0.0,657,3206.865865
0.0,486,3212.219295
200.0,537,3218.098962
200.0,663,3225.799936
0.0,601,3232.690914
0.0,356,3236.771792
0.0,525,3242.415869
200.0,488,3247.747076
200.0,597,3254.485281
0.0,537,3260.569712
0.0,414,3265.026221
0.0,471,3270.110833
0.0,451,3274.901961
0.0,354,3278.882825
400.0,553,3284.782337
0.0,544,3290.595206
0.0,448,3295.381839
0.0,578,3301.596709
0.0,549,3307.453907
0.0,474,3312.474072
0.0,348,3316.165806
0.0,536,3322.161682
0.0,675,3330.117446
0.0,406,3334.654963
400.0,407,3338.998384
0.0,408,3343.344316
200.0,493,3349.003021
0.0,535,3355.302177
200.0,604,3361.961025
0.0,279,3364.911142
0.0,401,3369.333666
0.0,414,3374.582691
0.0,662,3382.143924
0.0,477,3387.292141
0.0,583,3393.670219
0.0,654,3400.898675
0.0,603,3407.32425
200.0,538,3413.224763
0.0,336,3416.773567
0.0,282,3419.796318
0.0,339,3423.387973
0.0,479,3428.699684
0.0,608,3435.617449
0.0,281,3438.800119
0.0,343,3442.783771
0.0,343,3446.654157
200.0,482,3451.894082
400.0,544,3458.289295
0.0,287,3461.414781
0.0,541,3467.391218
0.0,468,3472.524829
200.0,489,3477.826504
0.0,493,3483.015486
0.0,365,3486.922871
0.0,544,3492.733484
0.0,588,3499.030639
0.0,529,3504.694823
400.0,655,3511.756239
200.0,554,3517.891115
0.0,348,3521.734891
400.0,543,3527.714818
0.0,604,3534.36215
0.0,411,3538.808283
0.0,478,3543.990651
0.0,729,3552.121613
0.0,359,3555.928474
200.0,411,3560.35733
0.0,451,3565.312423
0.0,362,3569.298624
0.0,286,3572.379048
0.0,342,3576.140354
0.0,427,3580.847764
200.0,368,3584.911626
200.0,542,3590.794011
0.0,283,3593.875526
0.0,420,3598.408506
0.0,288,3601.547397
0.0,348,3605.271398
0.0,476,3610.415077
400.0,534,3616.065536
0.0,286,3619.072284
0.0,402,3623.379016
200.0,674,3631.078646
0.0,476,3636.574243
200.0,608,3643.364806
200.0,549,3649.208541
0.0,409,3653.486887
0.0,348,3657.140257
200.0,419,3661.573459
400.0,465,3666.72456
0.0,420,3671.146068
0.0,466,3676.192066
0.0,467,3681.162924
0.0,610,3687.730906
0.0,541,3693.465133
0.0,486,3698.702725
200.0,600,3705.131928
0.0,356,3708.879382
200.0,482,3713.997466
0.0,602,3720.442088
0.0,477,3725.523305
0.0,374,3729.509283
0.0,371,3733.456145
0.0,432,3738.066646
200.0,540,3743.825113
200.0,347,3747.488662
200.0,477,3752.532186
0.0,532,3758.229645
0.0,277,3761.119863
0.0,413,3765.507333
0.0,400,3769.740399
200.0,601,3776.134284
0.0,489,3781.283822
0.0,408,3785.676977
0.0,593,3792.03835
200.0,453,3796.902812
0.0,367,3800.757758
200.0,536,3806.455345
0.0,591,3812.754521
0.0,419,3817.226032
0.0,350,3820.935192
200.0,736,3828.866372
0.0,593,3835.237442
0.0,281,3838.179823
200.0,609,3844.675466
0.0,419,3849.124161
0.0,366,3852.94927
0.0,525,3858.594056
0.0,475,3863.658809
200.0,359,3867.483695
0.0,370,3871.410058
200.0,464,3876.381243
0.0,408,3880.693866
200.0,397,3884.872866
400.0,541,3890.621739
200.0,600,3897.049004
0.0,417,3901.440574
200.0,621,3908.111151
0.0,543,3913.923496
0.0,339,3917.500247
200.0,400,3921.708694
0.0,523,3927.283338
0.0,355,3931.045377
200.0,636,3937.807611
200.0,608,3944.307504
200.0,575,3950.374836
200.0,546,3956.189172
0.0,348,3959.881896
0.0,680,3967.162326
200.0,478,3972.1908
0.0,339,3975.765418
200.0,536,3981.462727
0.0,356,3985.216238
0.0,468,3990.180614
0.0,350,3993.890213
200.0,425,3998.368514
0.0,541,4004.080679
0.0,536,4009.751849
0.0,459,4014.582284
200.0,476,4019.616185
0.0,475,4024.698901
200.0,470,4029.638074
0.0,531,4035.265303
0.0,470,4040.234845
0.0,285,4043.244077
0.0,402,4047.493732
200.0,365,4051.302979
0.0,522,4056.830891
0.0,488,4061.958287
0.0,434,4066.56458
400.0,532,4072.21062
200.0,590,4078.48316
0.0,358,4082.222493
200.0,630,4088.992661
200.0,373,4092.907705
400.0,590,4099.201912
0.0,468,4104.129376
0.0,398,4108.285548
0.0,308,4111.52347
400.0,583,4117.717673
0.0,432,4122.270677
0.0,431,4126.843564
400.0,412,4131.167691
200.0,340,4134.750813
200.0,463,4139.626518
0.0,546,4145.470522
0.0,287,4148.473735
0.0,313,4151.768192
0.0,429,4156.280412
200.0,481,4161.324243
0.0,485,4166.474859
200.0,594,4172.720744
0.0,603,4179.183646
0.0,361,4182.944438
0.0,475,4187.989974
0.0,401,4192.211233
0.0,531,4197.820693
0.0,342,4201.420886
0.0,402,4205.68018
0.0,545,4211.494588
200.0,531,4217.192966
0.0,479,4222.299329
0.0,353,4225.976649
200.0,598,4232.343722
200.0,409,4236.683699
200.0,413,4241.047236
0.0,719,4248.742148
0.0,560,4254.693157
200.0,471,4259.689885
400.0,662,4266.804552
200.0,672,4273.983717
0.0,338,4277.529181
0.0,557,4283.474663
0.0,595,4289.821647
0.0,521,4295.371323
0.0,410,4299.696826
0.0,571,4305.810363
200.0,843,4314.829508
0.0,370,4318.73822
200.0,531,4325.42964
200.0,598,11721.80132
200.0,662,11729.332064
200.0,472,11734.777714
200.0,352,11739.024046
200.0,464,11744.927301
0.0,472,11750.408729
0.0,469,11755.622537
0.0,474,11761.035504
200.0,469,11766.41755
0.0,461,11771.877693
200.0,535,11778.261666
0.0,533,11784.34729
0.0,425,11789.359655
0.0,415,11794.203061
0.0,483,11799.93239
200.0,422,11804.660308
200.0,533,11810.790008
0.0,471,11816.288519
0.0,415,11821.153243
0.0,405,11825.841379
0.0,470,11831.226365
0.0,339,11835.183151
200.0,472,11840.649691
0.0,591,11847.414067
200.0,471,11852.696558
200.0,593,11859.350979
0.0,420,11863.924582
0.0,550,11870.030841
400.0,471,11875.564947
200.0,787,11884.957368
200.0,532,11890.946492
400.0,666,11898.39216
200.0,602,11904.887942
200.0,438,11909.488856
0.0,426,11914.008513
200.0,524,11919.688886
0.0,372,11923.642829
0.0,615,11930.273338
0.0,540,11936.033566
0.0,418,11940.44355
0.0,471,11945.399143
200.0,403,11949.638931
200.0,660,11956.827509
200.0,483,11962.386125
0.0,406,11967.033309
600.0,667,11974.373664
0.0,602,11981.093589
0.0,535,11986.94313
400.0,571,11993.272222
0.0,468,11998.485637
200.0,469,12003.643877
0.0,571,12009.733706
200.0,556,12015.596368
0.0,508,12020.966024
0.0,718,12028.562671
0.0,663,12035.56155
400.0,620,12042.548246
0.0,341,12046.187769
200.0,338,12049.798253
400.0,599,12056.16531
200.0,426,12060.659792
0.0,372,12064.582275
0.0,482,12069.735675
400.0,552,12075.751948
400.0,536,12081.534038
200.0,450,12086.445331
200.0,540,12092.188839
0.0,406,12096.477815
0.0,478,12101.550113
200.0,537,12107.336395
0.0,415,12111.730813
0.0,477,12116.805605
200.0,475,12121.808268
400.0,723,12129.484145
600.0,538,12135.151872
0.0,338,12138.675367
0.0,402,12142.916028
0.0,645,12149.755448
0.0,781,12158.041548
600.0,542,12163.77805
0.0,349,12167.424196
400.0,400,12171.63349
0.0,464,12176.518059
0.0,346,12180.132143
0.0,540,12185.838517
200.0,476,12190.876648
0.0,414,12195.254291
0.0,306,12198.414176
200.0,337,12201.990184
0.0,332,12205.430475
0.0,418,12209.842735
0.0,394,12214.004617
0.0,370,12217.876321
0.0,497,12223.153549
0.0,599,12229.563085
200.0,533,14908.164988
200.0,337,14911.943025
200.0,470,14917.173684
0.0,332,14920.91522
0.0,529,14926.881214
0.0,410,14931.438022
200.0,337,14935.119694
200.0,341,14938.873866
0.0,294,14942.111205
200.0,633,14949.18129
0.0,415,14953.727127
0.0,345,14957.470592
0.0,290,14960.65906
0.0,474,14965.854162
0.0,362,14969.814592
0.0,539,14975.762652
0.0,365,14979.789877
200.0,482,14985.05781
200.0,542,14991.054739
200.0,654,14998.277441
0.0,503,15003.86649
0.0,300,15007.13771
0.0,433,15011.890033
0.0,588,15018.386615
200.0,501,15023.895875
0.0,375,15027.966022
0.0,292,15031.118551
200.0,340,15034.841617
600.0,597,15041.439963
0.0,535,15047.434897
400.0,530,15053.282253
200.0,535,15059.120658
200.0,547,15065.13953
200.0,499,15070.610891
0.0,377,15074.724885
200.0,477,15079.986832
200.0,661,15087.328165
0.0,780,15095.951095
0.0,408,15100.410165
200.0,397,15104.721656
200.0,376,15108.832631
0.0,552,15114.864493
200.0,665,15122.206849
0.0,533,15128.079165
200.0,532,15133.900563
200.0,414,15138.416481
0.0,471,15143.580665
200.0,565,15149.833971
0.0,598,15156.394408
0.0,469,15161.603466
0.0,502,15167.094754
0.0,411,15171.593745
0.0,269,15174.499968
200.0,410,15179.012868
0.0,297,15182.231284
0.0,534,15188.165382
0.0,416,15192.7182
0.0,418,15197.300939
0.0,462,15202.387357
200.0,591,15208.992658
400.0,607,15215.842365
0.0,274,15218.903144
0.0,532,15224.810358
0.0,287,15227.956921
200.0,602,15234.608145
0.0,710,15242.457153
200.0,618,15249.338715
0.0,472,15254.557757
200.0,342,15258.285804
200.0,470,15263.538724
0.0,352,15267.413391
0.0,711,15275.295271
0.0,276,15278.306215
200.0,403,15282.758303
200.0,408,15287.269234
0.0,412,15291.842001
200.0,494,15297.344299
200.0,482,15302.740841
200.0,470,15307.926965
