# {"t_start": 1554320224.543334, "env_id": "KangarooNoFrameskip-v4"} 
r,l,t
200.0,606,4625.070096
0.0,494,4629.770575
0.0,481,4634.334251
0.0,482,4638.999239
0.0,540,4644.099514
0.0,652,4650.760671
400.0,682,4658.085163
0.0,346,4662.324821
0.0,411,4666.508674
0.0,494,4671.534553
0.0,351,4675.031529
0.0,523,4680.207014
200.0,530,4685.68749
0.0,537,4690.821652
0.0,614,4697.472416
200.0,648,4705.311341
0.0,533,4712.720159
0.0,303,4716.394907
0.0,397,4720.874941
0.0,634,4727.59837
0.0,497,4732.685722
200.0,525,4738.295892
200.0,534,4743.456313
0.0,361,4746.680254
0.0,600,4752.251445
0.0,432,4756.175927
0.0,614,4761.672127
0.0,410,4765.377469
0.0,341,4768.417729
200.0,546,4773.280835
0.0,288,4775.841792
0.0,478,4780.314098
0.0,483,4785.355057
0.0,499,4790.112328
0.0,562,4795.645204
0.0,527,4801.082458
200.0,651,4807.446938
0.0,569,4813.11479
0.0,519,4818.639555
0.0,593,4824.417137
0.0,295,4827.589208
600.0,734,4837.914099
0.0,477,4844.044042
200.0,663,4852.537002
0.0,645,4860.023831
0.0,368,4863.769964
0.0,414,4867.711018
0.0,525,4873.140188
0.0,473,4877.814852
0.0,559,4883.299266
0.0,286,4885.900296
200.0,404,4889.589923
0.0,375,4893.020842
0.0,535,4897.920442
200.0,591,4903.300328
0.0,475,4907.639868
0.0,622,4913.387866
0.0,350,4916.558085
200.0,513,4921.253867
200.0,585,4926.694539
0.0,473,4930.993399
0.0,400,4934.624967
200.0,662,4940.500632
0.0,592,4945.662366
0.0,587,4950.89307
0.0,396,4954.446495
0.0,340,4957.610157
200.0,590,4963.03965
200.0,501,4967.558823
0.0,405,4971.210328
0.0,417,4974.991462
0.0,480,4979.252223
0.0,281,4981.675879
0.0,544,4986.450969
0.0,405,4990.003562
200.0,472,4994.154242
200.0,533,4998.867194
0.0,526,5003.526652
200.0,714,5010.270366
0.0,347,5013.731541
200.0,479,5018.487388
0.0,409,5022.121441
0.0,432,5026.118891
0.0,412,5029.972593
0.0,277,5032.481614
0.0,601,5037.826162
0.0,539,5042.705544
0.0,583,5048.262493
0.0,528,5053.120905
0.0,637,5059.196644
200.0,702,5065.637998
0.0,483,5070.102947
0.0,391,5073.874193
0.0,433,5078.137103
200.0,539,5083.591933
0.0,306,5087.152408
400.0,502,5092.676664
200.0,536,5098.263366
200.0,574,5104.22845
0.0,510,5109.604358
0.0,344,5113.241627
200.0,706,5120.761508
200.0,511,5126.079279
200.0,671,5133.133031
0.0,313,5136.186471
0.0,513,5141.355621
200.0,776,5149.179638
0.0,545,5154.811857
200.0,619,5161.372473
0.0,476,5166.464932
200.0,504,5171.4835
200.0,669,5177.914296
0.0,528,5183.009682
0.0,538,5188.241665
0.0,585,5193.781842
0.0,480,5198.268838
0.0,653,5204.484209
0.0,587,5210.364033
0.0,564,5217.150586
0.0,391,5221.323403
0.0,448,5225.911416
0.0,549,5231.707658
0.0,287,5234.470599
200.0,515,5239.61216
0.0,412,5243.751661
0.0,475,5248.576465
0.0,658,5255.500307
0.0,475,5260.152961
0.0,307,5263.142879
0.0,597,5269.14293
0.0,342,5272.60469
0.0,525,5278.076867
0.0,498,5283.711362
0.0,644,5290.704359
0.0,604,5297.328412
0.0,507,5302.692066
0.0,465,5307.629641
0.0,535,5313.471951
0.0,372,5317.490951
0.0,651,5324.471836
0.0,444,5329.200607
0.0,280,5332.165204
0.0,481,5337.196701
0.0,368,5341.165135
0.0,526,5346.281173
0.0,527,5351.816665
0.0,531,5357.587671
0.0,407,5361.900876
0.0,468,5366.811817
200.0,860,5376.102474
0.0,345,5379.699405
0.0,647,5386.546598
0.0,460,5391.372041
0.0,314,5394.909362
0.0,445,5399.589565
0.0,692,5406.956157
200.0,528,5412.535458
200.0,367,5416.546185
0.0,423,5421.136122
0.0,417,5425.587235
400.0,664,5433.285288
200.0,466,5438.956325
400.0,456,5444.007352
0.0,402,5448.278523
0.0,346,5451.890514
0.0,295,5454.999174
0.0,574,5461.090688
0.0,344,5464.681649
0.0,466,5469.607215
