# {"env_id": "SeaquestNoFrameskip-v4", "t_start": 1554416477.9348264} 
r,l,t
160.0,647,3482.633207
220.0,934,3493.6295
60.0,447,3499.105245
140.0,576,3506.062816
140.0,734,3514.956697
160.0,793,3524.862303
180.0,765,3533.776929
160.0,549,3540.047973
120.0,566,3546.591887
120.0,603,3553.437795
160.0,1071,3566.007924
160.0,584,3573.043231
200.0,631,3580.228859
120.0,729,3588.862679
140.0,640,3596.364768
180.0,565,3603.319366
80.0,428,3608.300181
220.0,818,3617.802589
60.0,454,3623.397453
200.0,729,3631.899141
160.0,579,3638.94891
260.0,867,3649.398104
220.0,719,3657.765567
220.0,675,3665.671425
80.0,501,3671.622622
120.0,707,3679.797007
120.0,601,3686.928919
200.0,720,3695.73737
180.0,869,3706.397969
180.0,752,3715.15512
60.0,506,3720.990916
300.0,1138,3734.395952
300.0,963,3745.452002
200.0,897,3755.752698
220.0,773,3765.117808
240.0,847,3775.414231
200.0,905,3786.073116
240.0,859,3796.198755
60.0,492,3801.901139
260.0,960,3813.675926
320.0,1167,3827.485925
280.0,1016,3839.491782
380.0,1219,3853.875705
260.0,860,3864.268342
60.0,455,3869.658036
160.0,659,3877.229093
140.0,520,3883.188442
320.0,906,3893.689752
280.0,978,3905.168795
100.0,522,3911.326217
160.0,674,3919.239197
80.0,468,3924.744618
340.0,1222,3939.093126
60.0,673,3946.975561
200.0,749,3955.611269
180.0,784,3964.767357
400.0,1253,3979.708084
460.0,1557,3997.608083
260.0,894,4007.815176
280.0,925,4018.421577
160.0,582,4025.086589
220.0,707,4033.143707
200.0,613,4040.138517
220.0,885,4050.332283
200.0,870,4060.368703
460.0,1458,4077.19181
160.0,698,4085.188656
120.0,541,4091.3745
100.0,597,4098.239602
340.0,1353,4113.982674
360.0,1447,4130.670414
180.0,674,4138.455778
400.0,1526,4156.032502
60.0,559,4162.408122
140.0,703,4170.410895
300.0,1006,4181.918457
240.0,955,4192.811857
60.0,441,4197.765672
300.0,1006,4209.352478
100.0,634,4216.549008
120.0,631,4223.725672
40.0,386,4228.662156
40.0,433,4233.612423
200.0,792,4242.719778
280.0,879,4252.834453
80.0,460,4258.15137
280.0,1257,4272.76406
120.0,547,4279.152086
0.0,296,4282.469409
180.0,650,4290.220883
420.0,1441,31322.028686
160.0,746,31333.956884
260.0,1274,31346.851432
0.0,346,31350.352846
200.0,914,31359.282334
0.0,324,31362.289401
20.0,392,31366.259782
40.0,435,31370.485102
0.0,327,31373.661365
0.0,422,31377.665106
100.0,497,31382.540607
260.0,1059,31392.713103
0.0,325,31396.165849
